$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/vga_stage/mos7_only/mos7.gds --netlist=/workspace/layout/blocks/out/vga_stage/mos7_only/mos7.cdl --run_dir=/workspace/layout/blocks/out/vga_stage/mos7_only/lvs --run_mode=deep --topcell=vga_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : deep  mode is enabled.
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 08:47:38 +0000: Memory Usage (129528K) : Netlist file: /workspace/layout/blocks/out/vga_stage/mos7_only/mos7.cdl
2026-08-20 08:47:38 +0000: Memory Usage (129528K) : LVS extracted netlist at: /workspace/layout/blocks/out/vga_stage/mos7_only/lvs/mos7_extracted.cir
2026-08-20 08:47:38 +0000: Memory Usage (129528K) : Applying SRAM integration support.
2026-08-20 08:47:38 +0000: Memory Usage (129528K) : Starting SG13G2 LVS runset
2026-08-20 08:47:38 +0000: Memory Usage (129528K) : Read in polygons from layers.
2026-08-20 08:47:38 +0000: Memory Usage (130608K) : activ_drw has 1215 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130608K) : activ_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ has 1215 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ_iOPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : activ_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : biwind_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : biwind_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : gatpoly_drw has 163 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : gatpoly_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : gatpoly has 163 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : gatpoly_pin has 155 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130736K) : gatpoly_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (130824K) : gatpoly_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : gatpoly_iOPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : gatpoly_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : cont_drw has 11990 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : cont_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : nsd_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : nsd_block has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1_drw has 2120 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1 has 2120 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1_pin has 1060 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131336K) : metal1_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : metal1_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : metal1_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : metal1_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : metal1_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : metal1_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : metal1_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : passiv_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : passiv_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : passiv_sbump has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131464K) : passiv_pillar has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131592K) : passiv_pdl has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131592K) : metal2_drw has 635 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131592K) : metal2_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131720K) : metal2_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131720K) : metal2 has 635 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131848K) : metal2_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131848K) : metal2_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131976K) : metal2_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131976K) : metal2_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (131976K) : metal2_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132104K) : metal2_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132104K) : metal2_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132104K) : metal2_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132232K) : metal2_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132232K) : baspoly_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132232K) : baspoly_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132232K) : psd_drw has 750 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132360K) : nldb_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132360K) : digibnd_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132360K) : via1_drw has 7440 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132360K) : backmetal1_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132488K) : backmetal1_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132488K) : backmetal1_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132488K) : backmetal1_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132488K) : backmetal1_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132616K) : backmetal1_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132616K) : backmetal1_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132616K) : backmetal1_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132616K) : backmetal1_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132744K) : backmetal1_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132744K) : backmetal1_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132744K) : backmetal1_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132744K) : backpassiv_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132872K) : res_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132872K) : sram_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132872K) : trans_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (132872K) : ind_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133000K) : ind_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133000K) : ind_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133000K) : salblock_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133000K) : via2_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133128K) : metal3_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133128K) : metal3_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133128K) : metal3_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133128K) : metal3 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133256K) : metal3_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133256K) : metal3_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133256K) : metal3_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133256K) : metal3_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133384K) : metal3_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133384K) : metal3_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133384K) : metal3_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133384K) : metal3_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : metal3_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : nwell_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : nwell_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : nwell_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : nbulay_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : nbulay_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : nbulay_block has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : emwind_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : emwind_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : deepco_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : mim_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : edgeseal_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : substrate_drw has 750 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : substrate_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : dfpad_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133512K) : dfpad_pillar has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133640K) : dfpad_sbump has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133640K) : thickgateox_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133640K) : pldb_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133640K) : pwell_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133640K) : pwell_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133768K) : pwell_block has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133768K) : ic_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133768K) : via3_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133768K) : metal4_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133768K) : metal4_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133768K) : metal4_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133896K) : metal4 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133896K) : metal4_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133896K) : metal4_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133896K) : metal4_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (133896K) : metal4_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134024K) : metal4_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134024K) : metal4_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134024K) : metal4_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134024K) : metal4_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134024K) : metal4_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134024K) : heattrans_drw has 155 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134152K) : heatres_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134152K) : fbe_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134152K) : empoly_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134152K) : digisub_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134280K) : text_drw has 905 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134280K) : via4_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134408K) : metal5_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : metal5_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : metal5_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : metal5_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : metal5_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : metal5_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : metal5_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134536K) : radhard_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134664K) : memcap_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134664K) : varicap_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134664K) : intbondvia_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134664K) : intbondmet_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134664K) : devbondvia_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134792K) : devbondmet_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134792K) : devtrench_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134792K) : redist_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134792K) : graphbot_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134792K) : graphtop_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134792K) : antvia1_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134920K) : antmetal2_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134920K) : graphcont_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134920K) : siwg_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134920K) : siwg_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134920K) : siwg_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (134920K) : sigrating_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135048K) : singrating_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135048K) : graphpas_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135048K) : emwind3_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135048K) : emwihv3_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135048K) : redbulay_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135048K) : smos_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135176K) : graphpad_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135176K) : polimide_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135176K) : polimide_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135176K) : recog_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135176K) : recog_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135176K) : recog_esd has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135304K) : recog_diode has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135304K) : recog_tsv has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135304K) : recog_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135304K) : recog_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135304K) : recog_pillar has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135304K) : recog_sbump has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135432K) : recog_otp has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135432K) : recog_pdiode has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135432K) : recog_mom has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135432K) : recog_momf has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135432K) : recog_pcm has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135432K) : colopen_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135560K) : graphmetal1_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135560K) : graphmetal1_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135560K) : graphmetal1_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135560K) : graphmetal1_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135560K) : graphmetal1_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135560K) : graphmet1l_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135688K) : graphmet1l_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135688K) : graphmet1l_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135688K) : graphmet1l_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135688K) : graphmet1l_OPC has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135688K) : extblock_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135816K) : nldd_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135816K) : pldd_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135816K) : next_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135816K) : pext_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135816K) : nexthv_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135816K) : pexthv_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135944K) : graphgate_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135944K) : sinwg_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135944K) : sinwg_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135944K) : sinwg_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135944K) : mempad_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (135944K) : topvia1_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136072K) : topmetal1_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136072K) : topmetal1_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136072K) : topmetal1_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136072K) : topmetal1 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136072K) : topmetal1_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136072K) : topmetal1_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136200K) : topmetal1_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136200K) : topmetal1_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136200K) : topmetal1_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136200K) : topmetal1_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136200K) : topmetal1_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136200K) : topmetal1_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136328K) : inldpwl_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136328K) : polyres_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136328K) : polyres_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136328K) : vmim_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136328K) : nbulaycut_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136456K) : antmetal1_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136456K) : topvia2_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136456K) : topmetal2_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136456K) : topmetal2_filler has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136456K) : topmetal2_slit has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136584K) : topmetal2 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136584K) : topmetal2_pin has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136584K) : topmetal2_mask has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136584K) : topmetal2_nofill has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136584K) : topmetal2_text has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136712K) : topmetal2_noqrc has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136712K) : topmetal2_res has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136712K) : topmetal2_iprobe has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136840K) : topmetal2_diffprb has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136840K) : snsring_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136840K) : sensor_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136968K) : snsarms_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136968K) : snscmosvia_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136968K) : colwind_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (136968K) : flm_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137096K) : hafniumox_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137096K) : memvia_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137096K) : thinfilmres_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137224K) : rfmem_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137224K) : norcx_drw has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137224K) : norcx_m2m3 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137224K) : norcx_m2m4 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137352K) : norcx_m2m5 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137352K) : norcx_m2tm1 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137352K) : norcx_m2tm2 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137352K) : norcx_m3m4 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137480K) : norcx_m3m5 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137480K) : norcx_m3tm1 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137608K) : norcx_m3tm2 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137608K) : norcx_m4m5 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137608K) : norcx_m4tm1 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m4tm2 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m5tm1 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m5tm2 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_tm1tm2 has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m1sub has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m2sub has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m3sub has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m4sub has 0 polygons
2026-08-20 08:47:38 +0000: Memory Usage (137736K) : norcx_m5sub has 0 polygons
